К-во зубов 	Dp 	De
 14 		56,60 	55,23
 15 		60,64 	59,27
 16 		64,68 	63,31
 17 		68,72 	67,35
 18 		72,77 	71,40
 19 		76,81 	75,44
 20 		80,85 	79,48
 21 		84,89 	83,52
 22 		88,94 	87,57
 23 		92,98 	91,61
 24 		97,02 	95,65
 25 		101,06 	99,69
 26 		105,11 	103,74
 27 		109,15 	107,78
 28 		113,19 	111,82
 29 		117,23 	115,86
 30 		121,28 	119,91
 32 		129,36 	127,99
 33 		133,40 	132,03
 34 		137,45 	136,08
 35 		141,49 	140,12
 36 		145,53 	144,16
 38 		153,62 	152,25
 40 		161,70 	160,33
 44 		177,87 	176,50
 48 		194,04 	192,67
 52 		210,21 	208,84
 60 		242,55 	241,18
