К-во зубов 	Dp 	De
 10 		6,47 	5,96
 12 		7,76 	7,25
 13 		8,41 	7,90
 14 		9,06 	8,55
 15 		9,70 	9,19
 16 		10,35 	9,84
 17 		11,00 	10,49
 18 		11,64 	11,13
 19 		12,29 	11,78
 20 		12,94 	12,43
 21 		13,58 	13,07
 22 		14,23 	13,72
 24 		15,52 	15,01
 26 		16,81 	16,30
 28 		18,11 	17,60
 30 		19,40 	18,89
 32 		20,70 	20,19
 34 		21,99 	21,48
 36 		23,29 	22,78
 40 		25,87 	25,36
 42 		27,17 	26,66
 44 		28,46 	27,95
 48 		31,05 	30,54
 60 		38,81 	38,30
 65 		42,04 	41,53
 72 		46,57 	46,06
