К-во зубов 	Dp 	De
 10 		16,17 	15,66
 11 		17,79 	17,28
 12 		19,40 	18,89
 13 		21,02 	20,51
 14 		22,64 	22,13
 15 		24,26 	23,75
 16 		25,87 	25,36
 17 		27,49 	26,98
 18 		29,11 	28,60
 19 		30,72 	30,21
 20 		32,34 	31,83
 21 		33,96 	33,45
 22 		35,57 	35,07
 24 		38,81 	38,30
 26 		42,04 	41,53
 27 		43,67 	43,16
 28 		45,28 	44,77
 29 		46,89 	46,38
 30 		48,51 	48,00
 32 		51,74 	51,23
 34 		54,98 	54,47
 35 		56,60 	56,09
 36 		58,21 	57,70
 38 		61,45 	60,94
 39 		63,06 	62,55
 40 		64,68 	64,17
 42 		67,91 	67,40
 44 		71,15 	70,64
